Unnamed: 0,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,cat_predicted_aspects,negative_score,positive_score,neutral_score,predicted_label
0,User_0,,Good,5,0,4.556.10005,2024-12-18 17:17:19,,,4.556.10005,uber,0.0005262465565465391,0.9990506768226624,0.0004230337217450142,positive
1,User_1,,Nice,5,0,4.556.10005,2024-12-18 17:17:17,,,4.556.10005,uber,0.0004882768844254315,0.9990411400794983,0.00047052474110387266,positive
2,User_2,,Very convenient,5,0,4.532.10001,2024-12-18 17:09:42,,,4.532.10001,uber,0.0011189316865056753,0.0016869530081748962,0.9971940517425537,neutral
3,User_3,,Good,4,0,4.556.10005,2024-12-18 17:08:27,,,4.556.10005,uber,0.0005262465565465391,0.9990506768226624,0.0004230337217450142,positive
4,User_4,,exllence,5,0,4.556.10005,2024-12-18 17:08:16,,,4.556.10005,uber,0.0008890300523489714,0.0030897227115929127,0.9960212111473083,neutral
5,User_5,,Michelle was a very friendly and personable person. Very polite!!,5,0,4.556.10005,2024-12-18 17:06:09,,,4.556.10005,driver,0.000900483108125627,0.004252978600561619,0.9948465824127197,neutral
6,User_6,,Bast price pr car available,5,0,4.556.10005,2024-12-18 17:06:04,,,4.556.10005,fare,0.0008922785636968911,0.004463386721909046,0.9946444034576416,neutral
7,User_6,,Bast price pr car available,5,0,4.556.10005,2024-12-18 17:06:04,,,4.556.10005,car,0.0012200772762298584,0.009408640675246716,0.9893712997436523,neutral
8,User_7,,Good service,5,0,4.556.10005,2024-12-18 17:05:20,,,4.556.10005,service,0.0005498403334058821,0.9989950060844421,0.0004551019810605794,positive
9,User_8,,Awesome,5,0,4.556.10005,2024-12-18 17:05:10,,,4.556.10005,uber,0.0006641312502324581,0.9988250136375427,0.0005108457989990711,positive
10,User_9,,Nice 🙂🙂🙂🙂🙂,5,0,4.556.10005,2024-12-18 17:04:02,,,4.556.10005,uber,0.0007290049106813967,0.996503472328186,0.0027675277087837458,positive
11,User_10,,"Never using uber again in Europe, thry charged me twice for trips I didn't take, it is not safe to add your credit card, be aware",1,0,,2024-12-18 16:56:33,,,,uber,0.011558475904166698,0.000764253141824156,0.987677276134491,neutral
12,User_11,,Nice app,5,0,4.556.10005,2024-12-18 16:52:41,,,4.556.10005,app,0.0007155674393288791,0.9987555742263794,0.0005289082182571292,positive
13,User_12,,"muita demora para achar uma corrida, e depois de muita demora selecionam um motorista longe e se cancelamos porque vai demorar muito ainda pagamos taxa.",3,0,4.556.10005,2024-12-18 16:44:38,,,4.556.10005,uber,0.011339564807713032,0.0009384016157127917,0.9877220988273621,neutral
14,User_13,,"It's been 8 months for now & this app is getting worse day by day. 1. When I click on ""call driver"" button, it display error page. WHY? 2. The driver himself is not able to callback due to app issues. 3. Everytime I open app, it asks for phone no. & things(despite of me already being logged in) 4. App hangs multiple times (despite being updated, cache clear, full sim range)",1,0,4.556.10005,2024-12-18 16:44:08,,,4.556.10005,uber,0.9930631518363953,0.002533901482820511,0.004402952268719673,negative
15,User_14,,Customer care doesn't exist,1,0,4.556.10005,2024-12-18 16:40:33,,,4.556.10005,customer,0.01931011490523815,0.0008844613912515342,0.9798054099082947,neutral
16,User_14,,Customer care doesn't exist,1,0,4.556.10005,2024-12-18 16:40:33,,,4.556.10005,support,0.04820387437939644,0.0010490231215953827,0.9507470726966858,neutral
17,User_15,,Your location services are horrible please fix it,1,0,4.556.10005,2024-12-18 16:40:30,,,4.556.10005,driver,0.9943711161613464,0.002594239078462124,0.0030346594285219908,negative
18,User_15,,Your location services are horrible please fix it,1,0,4.556.10005,2024-12-18 16:40:30,,,4.556.10005,service,0.9946163296699524,0.0026259934529662132,0.002757689915597439,negative
19,User_15,,Your location services are horrible please fix it,1,0,4.556.10005,2024-12-18 16:40:30,,,4.556.10005,drop,0.9947296380996704,0.002428292529657483,0.0028420579619705677,negative
20,User_16,,Good,5,0,,2024-12-18 16:38:31,,,,uber,0.0005262465565465391,0.9990506768226624,0.0004230337217450142,positive
21,User_17,,Very laye and herd settings,2,0,4.556.10005,2024-12-18 16:36:48,,,4.556.10005,uber,0.0010631376644596457,0.0021101541351526976,0.996826708316803,neutral
22,User_18,,"Quote you one price and charge you another (higher) price, for trips booked in advance",1,0,4.556.10005,2024-12-18 16:32:42,,,4.556.10005,uber,0.0013595117488875985,0.0014068953460082412,0.9972335696220398,neutral
23,User_19,,"Today one horrible experience I faced ...I booked one Uber go for one operation patient drop off...but after 20mins waiting driver named Tarun sarker forced me to cancel my ride...I requested him several times telling the condition of my operation patient...he tell rudely ""apni ja paren Amar korun ami jabona"" and forced me to cancel the trip.what type of nonsense behavior is this? I never expect such type of rude behavior from Uber drivers.",1,0,4.556.10005,2024-12-18 16:32:05,,,4.556.10005,uber,0.993935763835907,0.0021917109843343496,0.003872432978823781,negative
24,User_20,,Quick and reliable.,5,0,4.556.10005,2024-12-18 16:29:26,,,4.556.10005,uber,0.0005816220655106008,0.9969407320022583,0.0024776856880635023,positive
25,User_21,,Super rides with reasonable amount,5,0,4.556.10005,2024-12-18 16:26:30,,,4.556.10005,fare,0.0008070225012488663,0.017787238582968712,0.9814057946205139,neutral
26,User_21,,Super rides with reasonable amount,5,0,4.556.10005,2024-12-18 16:26:30,,,4.556.10005,payment,0.001016530441120267,0.0020074720960110426,0.9969760179519653,neutral
27,User_21,,Super rides with reasonable amount,5,0,4.556.10005,2024-12-18 16:26:30,,,4.556.10005,ride,0.0009423284791409969,0.043459732085466385,0.955597996711731,neutral
28,User_22,,Amazing application,5,0,4.556.10005,2024-12-18 16:25:10,,,4.556.10005,app,0.047264426946640015,0.37431007623672485,0.5784255266189575,neutral
29,User_23,,Supre app,5,0,,2024-12-18 16:24:43,,,,app,0.001111100078560412,0.00136183004360646,0.9975270628929138,neutral
30,User_24,,Good,5,0,4.541.10003,2024-12-18 16:19:16,,,4.541.10003,uber,0.0005262465565465391,0.9990506768226624,0.0004230337217450142,positive
31,User_25,,The safest way to travel.,5,0,4.556.10005,2024-12-18 16:15:40,,,4.556.10005,service,0.0044477712363004684,0.019319050014019012,0.976233184337616,neutral
32,User_26,,Amazing,5,0,4.556.10005,2024-12-18 16:13:56,,,4.556.10005,uber,0.0008153091766871512,0.998019814491272,0.0011648436775431037,positive
33,User_27,,Prompt and Cool,5,0,4.556.10005,2024-12-18 16:13:13,,,4.556.10005,uber,0.001934580854140222,0.0039881011471152306,0.9940773248672485,neutral
