Original_Word,Mapped_Aspect
driver,driver
car,car
trip,ride
ride,ride
journey,car
she,car
vehicle,car
drive,driver
drove,driver
arrived,wait
rider,driver
bike,car
request,ride
destination,destination
confirmation,ride
increased,fare
rides,ride
app,app
application,app
company,app
experience,experience
aap,app
platform,uber
seen,-
ever,app
services,service
life,experience
travel,service
fare,fare
booking,booking
shown,fare
increase,fare
showing,fare
shows,fare
while,ride
reaching,destination
double,booking
fair,fare
changes,route
support,support
number,customer
contact,support
proper,support
care,support
team,support
help,support
chat,support
customer,customer
issues,support
provide,service
payment,payment
cash,payment
upi,payment
method,payment
online,payment
amount,payment
pending,payment
which,-
mode,payment
wallet,payment
add,payment
price,fare
cab,car
auto,car
booked,booking
initially,car
day,-
book,booking
safely,ride
person,driver
gentleman,driver
conversation,driver
our,experience
top,-
provided,experience
respectful,driver
calm,driver
vehicles,car
helped,driver
interface,interface
perfect,uber
verry,uber
timing,ride
dependable,interface
seamless,navigation
recommended,interface
smart,interface
n,-
fantastic,interface
budget,service
service,service
behavior,driver
behaviour,driver
extremely,driver
safety,experience
guy,experience
map,map
locations,map
screen,interface
turn,map
down,map
right,map
failed,map
follow,map
exact,destination
easily,map
correct,destination
location,drop
drop,drop
point,location
spot,pickup
off,drop
wrong,location
pickup,destination
picked,destination
tracking,tracking
l,-
cheapest,service
loved,service
hassle,service
wow,service
irritating,experience
inconsistent,interface
generally,tracking
ui,interface
dissatisfied,experience
navigation,navigation
loving,navigation
superb,navigation
providing,navigation
slow,navigation
management,support
offers,support
god,navigation
speed,speed
light,speed
illegally,experience
btw,-
sadly,-
silly,-
mornings,-
discounted,fare
locking,speed
progressively,speed
artists,-
low,fare
reasonable,fare
high,fare
cost,fare
prices,fare
initial,fare
distance,route
bit,fare
passenger,customer
costing,fare
actual,fare
bill,fare
selected,fare
argue,driver
original,fare
1000,fare
200,fare
increasing,fare
completion,ride
14,-
returning,fare
payed,fare
refund,refund
credit,refund
receive,refund
message,refund
verify,refund
reply,refund
answer,refund
back,refund
respond,refund
email,refund
issue,support
problem,support
resolve,support
faced,support
unable,support
resolved,support
tried,issue
yet,issue
membership,support
solve,support
complaint,support
riding,experience
enjoyed,experience
satisfied,experience
experienced,experience
agent,agent
notice,agent
specific,agent
text,agent
happen,agent
transaction,payment
missing,agent
ignore,agent
explain,agent
asap,agent
verified,wallet
horrible,driver
dropped,destination
reached,destination
went,pickup
morning,pickup
arrive,route
came,pickup
road,pickup
deleted,wallet
complained,customer
id,customer
unfortunately,experience
urgently,-
wanted,-
route,route
nearby,route
ends,destination
goes,route
suddenly,route
accepting,route
coming,route
changing,route
side,destination
different,destination
asked,destination
delay,delay
locate,delay
sometime,delay
small,delay
quicker,delay
story,delay
outrageous,delay
convenience,delay
happening,delay
busy,delay
wait,wait
waiting,wait
45,wait
minute,wait
plus,wait
mins,wait
minutes,wait
half,wait
hours,wait
within,wait
miles,wait
uber,uber
business,uber
shuttle,uber
bolt,uber
everyone,uber
kindly,uber
definitely,uber
deleting,uber
daily,uber
big,uber
drivers,driver
