review,aspect,sentiment,opinion
"Efficient, driver is professional, cost is reasonable",driver,positive,friendly/nice/polite
"Efficient, driver is professional, cost is reasonable",fare,positive,cheap/reasonable
Waiting charge is extra bad experience,waiting time,negative,waiting
Good service,service,positive,good/great/nice
Worst customer service On 19/11/24 I booked an auto the driver cancelled and I was asked to pas the cancellation fee On my next ride the app shows the cancellation fee of the previous ride with ride fee . And I paid for the time being and when I filled an complaint the was showing Rs 19 were refunded to uber wallet but the Balance was showing 00,driver,neutral,
Worst customer service On 19/11/24 I booked an auto the driver cancelled and I was asked to pas the cancellation fee On my next ride the app shows the cancellation fee of the previous ride with ride fee . And I paid for the time being and when I filled an complaint the was showing Rs 19 were refunded to uber wallet but the Balance was showing 00,app,neutral,
Worst customer service On 19/11/24 I booked an auto the driver cancelled and I was asked to pas the cancellation fee On my next ride the app shows the cancellation fee of the previous ride with ride fee . And I paid for the time being and when I filled an complaint the was showing Rs 19 were refunded to uber wallet but the Balance was showing 00,service,negative,bad/poor/worst
Reliable and timescale and easy tovl use with good prices,fare,neutral,
"Cool, respectful drivers",driver,neutral,
Always a pleasure to ride with Uber drivers. Quick pick ups all the time,driver,neutral,
Good service...,service,positive,good/great/nice
Quick service on a busy Friday evening.,service,neutral,
"It is a cheating app. While booking the ride it shows as 400 rupees and it increases to 680 while dropping. Because of this, conflict is being created between drivers and us. There was no traffic also. Its their trick to choose their platform when compared to others like ola or rapido. I suggest everyone to prefer ola or rapido. Because their price is fixed and it will not vary like uber's",driver,neutral,
"It is a cheating app. While booking the ride it shows as 400 rupees and it increases to 680 while dropping. Because of this, conflict is being created between drivers and us. There was no traffic also. Its their trick to choose their platform when compared to others like ola or rapido. I suggest everyone to prefer ola or rapido. Because their price is fixed and it will not vary like uber's",fare,neutral,
"It is a cheating app. While booking the ride it shows as 400 rupees and it increases to 680 while dropping. Because of this, conflict is being created between drivers and us. There was no traffic also. Its their trick to choose their platform when compared to others like ola or rapido. I suggest everyone to prefer ola or rapido. Because their price is fixed and it will not vary like uber's",app,neutral,
Love the app and convenient application,app,neutral,
I love that app,app,neutral,
Even single star is waste... Driver will not lift the call and they won't reply and for cancelation again they will charge on us.... I wait upto 10min and called driver and I cancelled and I got cancelation fee.. This is second time and I'm not going to use it at all,driver,neutral,
"1st time using the app, enjoyed the discussion with driver who was experienced and willing to explain the workings of UBER...great service...",driver,neutral,
"1st time using the app, enjoyed the discussion with driver who was experienced and willing to explain the workings of UBER...great service...",app,neutral,
"1st time using the app, enjoyed the discussion with driver who was experienced and willing to explain the workings of UBER...great service...",service,positive,good/great/nice
"Great drivers. I couldn't set time. I set 1:00 pm but time confirmed wrong. Tried 3 times. Was able to cancel 1. I called first two at number shown. Phone showed Ontario then BC and neither answered. Finally lady called me, told her my problems. Said she would call Uber so I wasn't charged. Said I would take a cab. Said no, she'd tell them I need 1:00 pm pick up. Nobody came, so guess she didn't. Hope she did call Uber about wrong times. Will try to set time one more trip.",driver,neutral,
Good in USA but lots of issues when traveling. I'm living in South America for an extended amount of time and the drivers only want to be paid in cash. They get frustrated if you pay in card even if you tip generously and they will give you 1 star reviews for this. UBER please tell drivers the payment method of the rider and do not allow drivers to give fake reviews to riders. My rider rating has absolutely plummeted from 1 star reviews from this trip alone.,driver,neutral,
First time user. Understandable app. Able to make reservation more than a month in advance. Satisfactory update notices. On time. Professional.,app,neutral,
They are bad. I subscribe and paying 6 GBP monthly. Now during raining day they want me to pay extra otherwise they assigned me far away driver who needs more than 10 minutes to arrive. It still the same policy even after one year,driver,neutral,
Price is too inconsistent,fare,neutral,
Good app Resonable prices,fare,neutral,
Good app Resonable prices,app,neutral,
They take long for the driver to confirm and the drivers take longer to arive,driver,neutral,
"Driver are harsh , worst app , driver not available at movement",driver,neutral,
"Driver are harsh , worst app , driver not available at movement",app,neutral,
Drivers don't turn up and go in opposite directions. They clearly use Bolt and choose not to cancel trips. I've taken over 130 Ubers and had the same issue for years in several countries. The automated in-app support just says that you're not charged. They don't punish drivers or compensate users for their inability to get a grip on the problem,driver,neutral,
Drivers don't turn up and go in opposite directions. They clearly use Bolt and choose not to cancel trips. I've taken over 130 Ubers and had the same issue for years in several countries. The automated in-app support just says that you're not charged. They don't punish drivers or compensate users for their inability to get a grip on the problem,app,neutral,
Nice price and time to time drop awesome drive,fare,neutral,
"Excellent service, nice behaviour",service,positive,good/great/nice
professional driver.,driver,positive,friendly/nice/polite
All cars have been clean. And drivers have been pleasant,driver,neutral,
This app so stupid waste app they don't they cancelled themselves ðŸ˜¡,app,neutral,
"""3min pickups"" that take 20min to arrive have became unbearably common, so much that is obvious that Uber is not being honest about them. If it's going to take a while then at least let me know in advance so I don't spend all this time waiting in the scorching sun.",waiting time,negative,waiting
Great appp,app,neutral,
Rapido is the best app,app,neutral,
there no option to connect with support team just ai generated queries and that also not helpful.. I am facing a problem with payment issue but there no way to contact the driver of that specific ride niether there is any option to get my issue resolved.. worst app,driver,neutral,
